,name,product,location,"Sulfur","Silver","Cadmium","Manganese","Potassium","Vanadium","Cerium","Dysprosium","Gadolinium","Iridium","Lanthanum","Lithium","Neodymium","Scandium","Selenium","Tellurium","Yttrium","Cobalt","Gallium","Strontium","Zirconium","Platinum","Nickel"
34,sulfur dichloride production,sulfur dichloride,RER,0.0002767371623723301,6.957791575911873e-07,3.032628561383372e-08,0.00013121017980167597,0.0005156193223200783,1.1795493015724785e-09,1.9630919397092645e-05,6.303114564287801e-08,2.518937583664806e-07,0.0,1.3881478214493204e-05,6.677815085203827e-11,6.0938129757988835e-06,8.012505670612834e-10,1.9078275128667286e-06,3.5009808703227443e-07,2.3111420267053093e-07,1.7662726942136763e-06,2.8304711759853165e-07,8.41737931222376e-08,8.95498273455449e-06,1.180548656186524e-09,0.0004245743189116115
35,"heat and power co-generation unit construction, 50kW electrical, common components for heat+electricity","heat and power co-generation unit, 50kW electrical, common components for heat+electricity",RoW,5.261487247630563,0.005312918547050396,0.0002526549346710596,32.31531285634689,0.10056955706612257,9.827084046008669e-06,0.14436184138493455,3.0563255482035558e-06,0.0020199534580182853,0.0,0.06664167606220217,1.2583257437745305e-05,0.05335716515463917,0.00026496503975729206,0.015911941819221006,0.0029627462011838444,1.1206527106101833e-05,0.03505192774354533,0.0030142318120448533,0.00037782220983747323,0.19173632167227156,0.0005643646608470791,19.34453555304644
36,pear production,pear,AR,2.9647483382475648e-05,7.026108211906229e-08,7.4186087503837385e-09,9.052668891303519e-05,0.00030723201602740125,2.8854884706236044e-10,1.9272604073601857e-07,5.692175608293869e-11,2.677448846337415e-09,0.0,9.303501413051752e-08,2.592203186577332e-08,7.025237361104383e-08,3.2400324403922057e-10,1.5354202059577762e-07,2.8228705678277848e-08,2.0871310742276709e-10,2.0420067047349122e-07,4.2668205501829286e-08,2.0327757122644412e-08,2.4152091462953567e-06,1.7697723826343535e-10,5.679892284407423e-05
37,"Ethanol, from sugarbeet, at fuelling station","ethanol, without water, in 99.7% solution state, vehicle grade",RER,8.057643942430396e-05,1.8702392274761868e-07,1.571401957326052e-08,7.442638023299257e-05,0.01632824018748172,6.112011618714889e-10,3.9696293842115515e-07,1.2975400078629346e-10,5.510259375867075e-09,0.0,1.925895906972045e-07,2.2368363702043923e-09,1.4446852470755792e-07,6.603190776673821e-10,3.135816873515853e-07,5.7631161252660455e-08,4.757646736084352e-10,5.629296322313554e-07,6.912601928717118e-08,2.2245201520565803e-08,5.972515422379236e-06,1.0012664150956854e-09,9.464228710485865e-05
38,"operation, computer, desktop, with liquid crystal display, home use","operation, computer, desktop, home use",Europe without Switzerland,1.1275371907096307e-05,2.8437510454515087e-07,2.7439666317323954e-09,8.807098629383185e-06,1.8658851526962985e-06,1.0672734331114372e-10,3.297529772208635e-08,1.9780817534362678e-11,4.5445528121898817e-10,0.0,1.6691087052097812e-08,3.177034681149121e-10,1.1833800492020135e-08,4.9787002221561967e-11,6.558136881764097e-08,1.2042327104405684e-08,7.252966491789051e-11,6.310637744201811e-08,1.5011506581791e-08,8.228559409220611e-09,4.035878686268001e-07,2.1372987472526502e-10,1.0454935213695318e-05
39,"clear-cutting, secondary forest to arable land, annual crop","land tenure, arable land, measured as carbon net primary productivity, annual crop",AU,3.896140593669589e-05,2.957423477783483e-08,2.744854967895399e-09,0.000200034632095056,0.0001402150073555084,1.0676189601278729e-10,9.177689629290059e-07,3.4158430478091524e-10,1.2724451698874055e-08,0.0,4.4846408454449467e-07,2.078714541246668e-09,3.3323595511799156e-07,1.5032386620964335e-09,6.909714671897632e-08,1.305428474110861e-08,1.252475794836768e-09,2.5977288452892277e-07,4.4258252219714364e-08,6.486779685506104e-09,3.122434950234282e-06,3.0032157406681385e-09,0.0001507063633640005
40,"aircraft production, dedicated freight aircraft, long haul","aircraft, dedicated freight, long haul",GLO,13089.26420425684,0.5955547616616566,0.032651540959931016,803.6082454122649,19.87081764845483,0.001269990766905275,7.878018712238827,0.009048679067052203,0.10699915138274063,0.0,4.32032925118046,0.002040969754362285,2.7469565846374038,0.009462220113576182,1.9981753865001948,0.36820068113064647,0.03317849019489098,102.7403462211927,28.13604775144144,0.06240969899470893,2270.2886750143966,0.1564127754910401,6133.720732607331
41,"fattening of heifers for beef production, feedlot","cattle for slaughtering, live weight",RoW,0.00045625610986019173,9.5569617493773e-07,1.0251902704632628e-07,0.00026278775705792075,0.015864002193877725,3.9875060358179756e-09,2.8376007994372085e-06,4.9665824474854785e-09,3.791890797921916e-08,0.0,1.6875543345136e-06,1.3076790690090244e-07,9.577507034075463e-07,2.447617520533123e-09,1.7201507617857737e-06,3.1576109659220395e-07,1.8210802463419408e-08,3.2525267210246957e-06,3.1183127201170527e-07,2.248514941124386e-07,2.5572541227603823e-05,3.239504952901392e-09,0.00041513841379516454
42,"maintenance, motor scooter","maintenance, motor scooter",RoW,0.054358738737363424,0.0010449450207656843,8.810403683444741e-05,0.05609869581224963,0.01188118573873896,3.4268310306957042e-06,0.0001673840683533521,1.0777045450537187e-07,2.3041557440967073e-06,0.0,8.529133008513649e-05,4.319425427115753e-08,5.993227932389134e-05,2.485788052004708e-07,0.00014002808097191233,2.575849790551305e-05,3.95158336568586e-07,0.00028540572761473227,0.00016917364325466758,8.564159246884697e-05,0.004055045499322401,1.7865280729218533e-07,0.1967421671290184
43,"treatment of hard coal ash, sanitary landfill",hard coal ash,CH,-9.733512901274382e-07,-9.521811034542004e-10,-7.082005546309118e-11,-3.1109786289172028e-06,-1.4078725247529608e-08,-2.7545657351748107e-12,-1.3351228745649147e-08,-2.4041423642567988e-12,-1.8604225486807234e-10,0.0,-6.326602140886782e-09,-6.089136855538117e-13,-4.895342416272285e-09,-2.331153005736352e-11,-2.79482595752848e-09,-5.177215488180503e-10,-8.815188743944886e-12,-6.097450016384168e-09,-7.537795629911603e-10,-1.657373554568673e-10,-8.08647862286787e-08,-1.8370654794714636e-11,-4.014897934885991e-06
